"gene","process","group","species","taxa","polytomy","paraphyly","MCI","MCI.ci","nCID","nCID.ci","seq.identity","info.sites"
"ovo","germline sex","sex determination",95,46,0.627906976744186,0,7.41022293455964,1.46336484499516,0.48492287770971,0.89828298556234,0.269142928099288,0.912311780336581
"PABP1","reference","reference",94,44,0.585365853658537,0,6.32774436978444,1.56493004604102,0.512980411607069,0.879553986010249,0.693334535436593,0.616384915474642
"PEPCK","reference","reference",88,42,0.825,0.0476190476190476,2.38212691008708,0.73422978394983,0.77756747485275,0.931604367860493,0.583826781157709,0.686695278969957
"PGD","reference","reference",89,44,0.780487804878049,0,4.18115503759306,0.916459055804304,0.661088489841265,0.925714660229369,0.64632272535536,0.562372188139059
"PPO1","reference","reference",55,24,0.681818181818182,0.0833333333333333,3.06336996598585,1.06904644722632,0.645851748410593,0.876249553760415,0.437766560842096,0.588510354041416
"Prp6","reference","reference",90,40,0.648648648648649,0,6.26640325057762,1.36012163053858,0.498897585690398,0.891235816534027,0.77575019787193,0.664652567975831
"pug","reference","reference",88,44,0.731707317073171,0,3.94673293269722,1.0726273362302,0.666136369109749,0.909263873899565,0.53476075702602,0.913392857142857
"RCC1","reference","reference",82,41,0.763157894736842,0,4.19302786231444,0.960773081869282,0.640050097917436,0.917522566484564,0.358302395555131,0.904807692307692
"RpII18","reference","reference",84,42,0.875,0.0476190476190476,1.84829248614659,0.540861744016311,0.826914123255845,0.949517329128211,0.733267607243767,0.328767123287671
"RpII215","reference","reference",95,45,0.642857142857143,0,6.62918536733936,1.38566729400674,0.515211635228961,0.898666978768185,0.71460844136695,0.640372366487016
"runt","somatic sex","sex determination",91,38,0.763157894736842,0.157894736842105,3.69333416891541,0.998654906378869,0.668058754642227,0.910334053049782,0.284241525602821,0.901168014375562
"scute","somatic sex","sex determination",63,36,0.696969696969697,0,4.0363189879859,1.1698853335154,0.62345439865018,0.890862149961367,0.335036541529894,0.784240150093809
"Sf1","reference","reference",85,38,0.571428571428571,0,6.69824429859609,1.57292809627554,0.476422783253223,0.877049973384314,0.377328800214749,0.95400475812847
"snf","somatic sex","sex determination",93,42,0.82051282051282,0,3.92361373196022,0.776031716176573,0.665912961877436,0.93392261439123,0.680973508137682,0.598615916955017
"SOD1","reference","reference",100,43,0.886363636363636,0.186046511627907,1.28882824324702,0.489924488257768,0.876558541891404,0.953523552517457,0.609413369097452,0.586206896551724
"Spec-a","reference","reference",88,44,0.48780487804878,0,8.93107256940432,1.83426479266644,0.381004082501147,0.872870541645578,0.703515754531941,0.704823889739663
"spf45","somatic sex","sex determination",80,40,0.702702702702703,0,4.58629266969406,1.17110685801567,0.610928740777828,0.900650906353459,0.455042938826442,0.785714285714286
"Sxl","somatic sex","sex determination",90,38,0.771428571428571,0,4.50962474104874,0.935954188512386,0.600952459147735,0.917179313419017,0.382159247940711,0.774311926605505
"Syx1A","reference","reference",95,43,0.95,0,0.965051078685109,0.274486777217122,0.905223208763409,0.973042902540498,0.686893647174552,0.789403973509934
"TPI","reference","reference",99,43,0.875,0,1.97368267910017,0.571499195034753,0.814367814368978,0.946248378331496,0.642743021290162,0.601246105919003
"tra_SDP","somatic sex",NA,37,18,0.866666666666667,0,1.153280756424,0.57026222299996,0.802419433898999,0.902302425303866,0.219002883506093,0.857627118644068
"tra","somatic sex","sex determination",42,21,0.666666666666667,0,3.55671034304702,1.20735636242644,0.556022160029175,0.849287847993295,0.161102898603627,0.952486187845304
"tra2","somatic sex","sex determination",94,41,0.736842105263158,0,3.46101711930024,1.05244874762012,0.69255594519997,0.906510398739963,0.376007026838415,0.812612612612613
"UbA5","reference","reference",91,45,0.857142857142857,0,2.12289431472681,0.631840633455861,0.80863336530581,0.943043224126278,0.569020903908313,0.737777777777778
"UDE","reference","reference",52,25,0.5,0,7.63834942617963,1.71833584132174,0.303096007140367,0.843223314085818,0.34528230952718,0.866906474820144
"vir","somatic sex","sex determination",90,42,0.435897435897436,0,9.4888072895378,2.0285688496497,0.353951931106912,0.861884328773559,0.246453268302498,0.948892674616695
"Wnt1","reference","reference",87,45,0.833333333333333,0,3.28319085534758,0.726928772178326,0.714538630903749,0.936796216947457,0.51438324621143,0.883248730964467
